公司代碼	簡稱	TSE 產業別	年月	轉投資名稱	地區	期末累計匯出金額(NTD)
1101	台泥         	1	200912	江蘇台泥投資        	0	422268
1101	台泥         	1	200912	柳州台泥新型        	2	77736
1101	台泥         	1	200912	英信(英德)水泥      	2	28151
1101	台泥         	1	200912	福州台泥水泥        	0	228729
1101	台泥         	1	200912	福州台泥陽嶼碼頭    	0	70378
1101	台泥         	1	201012	Anhui King Bridge   	0	148563
1101	台泥         	1	201012	1	      	18154065
1101	台泥         	1	201012	台泥(東莞)水泥      	2	172814
1101	台泥         	1	201012	台泥(英德)水泥      	2	3446399
1101	台泥         	1	201012	台泥(重慶)水泥      	4	1385025
1101	台泥         	1	201012	台泥(貴港)水泥      	2	3585900
1101	台泥         	1	201012	台泥安順水泥有限公司	4	672932
1101	台泥         	1	201012	句容台泥水泥        	0	3341065
1101	台泥         	1	201012	江蘇台泥投資        	0	493754
1101	台泥         	1	201012	柳州台泥新型        	2	94381
1101	台泥         	1	201012	英信(英德)水泥      	2	32917
1101	台泥         	1	201012	英德龍山水泥有限責任	2	3164483
1101	台泥         	1	201012	福州台泥水泥        	0	267450
1101	台泥         	1	201012	福州台泥陽嶼碼頭    	0	82292
1101	台泥         	1	201012	廣安昌興水泥有限公司	4	601254
1101	台泥         	1	201012	遼寧昌慶水泥有限公司	1	664836
1101	台泥         	1	201112	Anhui King Bridge   	0	154403
1101	台泥         	1	201112	1	      	22529172
1101	台泥         	1	201112	台泥(東莞)水泥      	2	179606
1101	台泥         	1	201112	台泥(英德)水泥      	2	3752919
1101	台泥         	1	201112	台泥(重慶)水泥      	4	1439466
1101	台泥         	1	201112	台泥(貴港)水泥      	2	3726849
1101	台泥         	1	201112	台泥(韶關)水泥      	2	171054
1101	台泥         	1	201112	台泥安順水泥有限公司	4	1212543
1101	台泥         	1	201112	句容台泥水泥        	0	3814499
1101	台泥         	1	201112	江蘇台泥投資        	0	855269
1101	台泥         	1	201112	建國礦業等三家      	其他  	620369
1101	台泥         	1	201112	柳州台泥新型        	2	98091
1101	台泥         	1	201112	英信(英德)水泥      	2	34211
1101	台泥         	1	201112	英德龍山水泥有限責任	2	3288868
1101	台泥         	1	201112	貴州凱里瑞安建材    	4	393337
1101	台泥         	1	201112	貴州港安水泥        	4	199748
1101	台泥         	1	201112	新台泥投資管理      	0	51316
1101	台泥         	1	201112	福州台泥水泥        	0	277962
1101	台泥         	1	201112	福州台泥陽嶼碼頭    	0	85527
1101	台泥         	1	201112	廣安昌興水泥有限公司	4	624887
1101	台泥         	1	201112	遼寧昌慶水泥有限公司	1	1035087
1101	台泥         	1	201112	賽德水泥等十家      	其他  	513161
1101	台泥         	1	201212	Anhui King Bridge   	0	148104
1101	台泥         	1	201212	1	      	25986928
1101	台泥         	1	201212	台泥(東莞)水泥      	2	328152
1101	台泥         	1	201212	台泥(英德)水泥      	2	3599827
1101	台泥         	1	201212	台泥(重慶)水泥      	4	1955012
1101	台泥         	1	201212	台泥(貴港)水泥      	2	3574821
1101	台泥         	1	201212	台泥(韶關)水泥      	2	164076
1101	台泥         	1	201212	台泥(廣安)水泥      	4	1042402
1101	台泥         	1	201212	台泥安順水泥有限公司	4	1737346
1101	台泥         	1	201212	句容台泥水泥        	0	3658895
1101	台泥         	1	201212	江蘇台泥投資        	0	820380
1101	台泥         	1	201212	江蘇台泥礦業工程    	0	363200
1101	台泥         	1	201212	柳州台泥新型        	2	94090
1101	台泥         	1	201212	英德台泥礦業工程    	2	262744
1101	台泥         	1	201212	英德龍山水泥有限責任	2	3154706
1101	台泥         	1	201212	貴州凱里瑞安建材    	4	377292
1101	台泥         	1	201212	貴州港安水泥        	4	265721
1101	台泥         	1	201212	貴港台泥礦業工程    	2	125413
1101	台泥         	1	201212	新台泥投資管理      	0	98446
1101	台泥         	1	201212	福州台泥水泥        	0	266624
1101	台泥         	1	201212	福州台泥陽嶼碼頭    	0	82038
1101	台泥         	1	201212	遼寧昌慶水泥有限公司	1	992863
1101	台泥         	1	201212	賽德水泥等十家      	其他  	2874776
1101	台泥         	1	201312	Anhui King Bridge   	0	152006
1101	台泥         	1	201312	1	      	29079133
1101	台泥         	1	201312	士敏英德機械        	2	16295
1101	台泥         	1	201312	台泥(東莞)水泥      	2	336797
1101	台泥         	1	201312	台泥(英德)水泥      	2	3694658
1101	台泥         	1	201312	台泥(重慶)水泥      	4	2006513
1101	台泥         	1	201312	台泥(貴港)水泥      	2	3668992
1101	台泥         	1	201312	台泥(韶關)水泥      	2	168398
1101	台泥         	1	201312	台泥(廣安)水泥      	4	1069862
1101	台泥         	1	201312	台泥安順水泥有限公司	4	1783113
1101	台泥         	1	201312	句容台泥水泥        	0	3755281
1101	台泥         	1	201312	四川泰昌建材集團    	4	346242
1101	台泥         	1	201312	合江賽德水泥        	4	0
1101	台泥         	1	201312	安順鑫台建材骨料    	4	91579
1101	台泥         	1	201312	江蘇台泥投資        	0	841991
1101	台泥         	1	201312	江蘇台泥礦業工程    	0	372768
1101	台泥         	1	201312	保山昆鋼嘉華水泥建材	4	692635
1101	台泥         	1	201312	柳州台泥新型        	2	96568
1101	台泥         	1	201312	英德台泥礦業工程    	2	269666
1101	台泥         	1	201312	英德市達通物流服務  	2	24450
1101	台泥         	1	201312	英德海螺水泥有限責任	0	2193918
1101	台泥         	1	201312	英德龍山水泥有限責任	2	3237810
1101	台泥         	1	201312	納溪賽德水泥        	4	0
1101	台泥         	1	201312	貴州凱里瑞安建材    	4	387231
1101	台泥         	1	201312	貴州港安水泥        	4	272721
1101	台泥         	1	201312	貴港台泥礦業工程    	2	128717
1101	台泥         	1	201312	雲南昆鋼嘉華水泥建材	4	1430339
1101	台泥         	1	201312	新台泥投資管理      	0	134719
1101	台泥         	1	201312	達和船務            	2	19560
1101	台泥         	1	201312	達通(貴港)國際物流  	2	149025
1101	台泥         	1	201312	福州台泥水泥        	0	273647
1101	台泥         	1	201312	福州台泥軟件        	0	3412
1101	台泥         	1	201312	福州台泥陽嶼碼頭    	0	84199
1101	台泥         	1	201312	廣安鑫台建材        	4	47269
1101	台泥         	1	201312	遼寧昌慶水泥有限公司	1	1328752
1101	台泥         	1	201312	瀘州賽德水泥        	4	0
1101	台泥         	1	201312	瀘州賽德混凝土      	4	0
1101	台泥         	1	201412	Anhui King Bridge   	0	161415
1101	台泥         	1	201412	1	      	31597498
1101	台泥         	1	201412	士敏英德機械        	2	16295
1101	台泥         	1	201412	台泥(東莞)水泥      	2	357645
1101	台泥         	1	201412	台泥(英德)水泥      	2	3923366
1101	台泥         	1	201412	台泥(重慶)水泥      	4	2130721
1101	台泥         	1	201412	台泥(貴港)水泥      	2	3896111
1101	台泥         	1	201412	台泥(韶關)水泥      	2	178823
1101	台泥         	1	201412	台泥(廣安)水泥      	4	1136088
1101	台泥         	1	201412	台泥安順水泥有限公司	4	1893492
1101	台泥         	1	201412	句容台泥水泥        	0	3987742
1101	台泥         	1	201412	四川泰昌建材集團    	4	367595
1101	台泥         	1	201412	合江賽德水泥        	4	0
1101	台泥         	1	201412	安順鑫台建材骨料    	4	97226
1101	台泥         	1	201412	江蘇台泥投資        	0	894113
1101	台泥         	1	201412	江蘇台泥礦業工程    	0	395843
1101	台泥         	1	201412	保山昆鋼嘉華水泥建材	4	735350
1101	台泥         	1	201412	柳州台泥新型        	2	102546
1101	台泥         	1	201412	英德台泥礦業工程    	2	286359
1101	台泥         	1	201412	英德市達通物流服務  	2	25865
1101	台泥         	1	201412	英德海螺水泥有限責任	0	2329218
1101	台泥         	1	201412	英德龍山水泥有限責任	2	3438238
1101	台泥         	1	201412	納溪賽德水泥        	4	0
1101	台泥         	1	201412	貴州凱里瑞安建材    	4	1132260
1101	台泥         	1	201412	貴州港安水泥        	4	289603
1101	台泥         	1	201412	貴港台泥礦業工程    	2	136685
1101	台泥         	1	201412	雲南昆鋼嘉華水泥建材	4	1518548
1101	台泥         	1	201412	新台泥投資管理      	0	143058
1101	台泥         	1	201412	達和船務            	2	20692
1101	台泥         	1	201412	達通(貴港)國際物流  	2	158250
1101	台泥         	1	201412	福州台泥水泥        	0	290587
1101	台泥         	1	201412	福州台泥軟件        	0	3165
1101	台泥         	1	201412	福州台泥陽嶼碼頭    	0	89411
1101	台泥         	1	201412	廣安鑫台建材        	4	50184
1101	台泥         	1	201412	遼寧昌慶水泥有限公司	1	1411004
1101	台泥         	1	201412	瀘州賽德水泥        	4	0
1101	台泥         	1	201412	瀘州賽德混凝土      	4	0
1101	台泥         	1	201512	Anhui King Bridge   	0	167408
1101	台泥         	1	201512	1	      	41838707
1101	台泥         	1	201512	士敏英德機械        	2	16295
1101	台泥         	1	201512	台泥(東莞)水泥      	2	370923
1101	台泥         	1	201512	台泥(英德)水泥      	2	4069020
1101	台泥         	1	201512	台泥(重慶)水泥      	4	2209823
1101	台泥         	1	201512	台泥(貴港)水泥      	2	4040754
1101	台泥         	1	201512	台泥(韶關)水泥      	2	185461
1101	台泥         	1	201512	台泥(廣安)水泥      	4	1178266
1101	台泥         	1	201512	台泥安順水泥有限公司	4	1963788
1101	台泥         	1	201512	句容台泥水泥        	0	4135786
1101	台泥         	1	201512	四川泰昌建材集團    	4	381560
1101	台泥         	1	201512	合江賽德水泥        	4	0
1101	台泥         	1	201512	安順鑫台建材骨料    	4	100920
1101	台泥         	1	201512	江蘇台泥投資        	0	927306
1101	台泥         	1	201512	江蘇台泥礦業工程    	0	410539
1101	台泥         	1	201512	保山昆鋼嘉華水泥建材	4	763286
1101	台泥         	1	201512	柳州台泥新型        	2	106353
1101	台泥         	1	201512	英德台泥礦業工程    	2	296990
1101	台泥         	1	201512	英德市達通物流服務  	2	24975
1101	台泥         	1	201512	英德海螺水泥有限責任	0	2417705
1101	台泥         	1	201512	英德龍山水泥有限責任	2	3565882
1101	台泥         	1	201512	納溪賽德水泥        	4	0
1101	台泥         	1	201512	湖南金大地材料      	2	5801051
1101	台泥         	1	201512	華鎣台泥水泥        	4	3266627
1101	台泥         	1	201512	貴州凱里瑞安建材    	4	1174295
1101	台泥         	1	201512	貴州港安水泥        	4	300355
1101	台泥         	1	201512	貴港台泥礦業工程    	2	141759
1101	台泥         	1	201512	雲南昆鋼嘉華水泥建材	4	1576238
1101	台泥         	1	201512	新台泥投資管理      	0	148369
1101	台泥         	1	201512	達和船務            	2	19980
1101	台泥         	1	201512	達通(貴港)國際物流  	2	164125
1101	台泥         	1	201512	靖州台泥水泥        	2	0
1101	台泥         	1	201512	福州台泥水泥        	0	301375
1101	台泥         	1	201512	福州台泥軟件        	0	3283
1101	台泥         	1	201512	福州台泥陽嶼碼頭    	0	92731
1101	台泥         	1	201512	廣安鑫台建材        	4	52091
1101	台泥         	1	201512	遼寧昌慶水泥有限公司	1	1463388
1101	台泥         	1	201512	懷化台泥混凝土      	2	0
1101	台泥         	1	201512	瀘州賽德水泥        	4	0
1101	台泥         	1	201512	瀘州賽德混凝土      	4	0
1101	台泥         	1	201612	Anhui King Bridge   	0	164475
1101	台泥         	1	201612	1	      	47874108
1101	台泥         	1	201612	士敏英德機械        	2	16295
1101	台泥         	1	201612	台泥(東莞)水泥      	2	364425
1101	台泥         	1	201612	台泥(英德)水泥      	2	5126492
1101	台泥         	1	201612	台泥(重慶)水泥      	4	2751614
1101	台泥         	1	201612	台泥(貴港)水泥      	2	3969971
1101	台泥         	1	201612	台泥(韶關)水泥      	2	2088188
1101	台泥         	1	201612	台泥(廣安)水泥      	4	1802626
1101	台泥         	1	201612	台泥安順水泥有限公司	4	3606388
1101	台泥         	1	201612	句容台泥水泥        	0	4385839
1101	台泥         	1	201612	四川泰昌建材集團    	4	374623
1101	台泥         	1	201612	合江賽德水泥        	4	0
1101	台泥         	1	201612	安順鑫台建材骨料    	4	99085
1101	台泥         	1	201612	江蘇台泥投資        	0	911063
1101	台泥         	1	201612	江蘇台泥礦業工程    	0	403347
1101	台泥         	1	201612	保山昆鋼嘉華水泥建材	4	749408
1101	台泥         	1	201612	柳州台泥新型        	2	104490
1101	台泥         	1	201612	英德台泥礦業工程    	2	291787
1101	台泥         	1	201612	英德市達通物流服務  	2	23085
1101	台泥         	1	201612	英德海螺水泥有限責任	0	2373747
1101	台泥         	1	201612	英德龍山水泥有限責任	2	3503418
1101	台泥         	1	201612	納溪賽德水泥        	4	0
1101	台泥         	1	201612	湖南金大地材料      	2	6094182
1101	台泥         	1	201612	華鎣台泥水泥        	4	3329078
1101	台泥         	1	201612	貴州凱里瑞安建材    	4	1153724
1101	台泥         	1	201612	貴州港安水泥        	4	295093
1101	台泥         	1	201612	貴港台泥礦業工程    	2	139276
1101	台泥         	1	201612	雲南昆鋼嘉華水泥建材	4	1547579
1101	台泥         	1	201612	新台泥投資管理      	0	145770
1101	台泥         	1	201612	達和船務            	2	18468
1101	台泥         	1	201612	達通(貴港)國際物流  	2	161250
1101	台泥         	1	201612	靖州台泥水泥        	2	0
1101	台泥         	1	201612	福州台泥水泥        	0	296095
1101	台泥         	1	201612	福州台泥軟件        	0	3225
1101	台泥         	1	201612	福州台泥陽嶼碼頭    	0	91106
1101	台泥         	1	201612	廣安鑫台建材        	4	51143
1101	台泥         	1	201612	遼寧昌慶水泥有限公司	1	1437753
1101	台泥         	1	201612	懷化台泥混凝土      	2	0
1101	台泥         	1	201612	瀘州賽德水泥        	4	0
1101	台泥         	1	201612	瀘州賽德混凝土      	4	0
1101	台泥         	1	201712	Anhui King Bridge   	0	151776
1101	台泥         	1	201712	1	      	46632815
1101	台泥         	1	201712	士敏英德機械        	2	16295
1101	台泥         	1	201712	台泥(東莞)水泥      	2	336288
1101	台泥         	1	201712	台泥(英德)水泥      	2	4730679
1101	台泥         	1	201712	台泥(重慶)水泥      	4	2539163
1101	台泥         	1	201712	台泥(貴港)水泥      	2	7085853
1101	台泥         	1	201712	台泥(韶關)水泥      	2	1060944
1101	台泥         	1	201712	台泥(廣安)水泥      	4	1663446
1101	台泥         	1	201712	台泥安順水泥有限公司	4	3327941
1101	台泥         	1	201712	句容台泥水泥        	0	4047211
1101	台泥         	1	201712	四川泰昌建材集團    	4	342999
1101	台泥         	1	201712	合江賽德水泥        	4	0
1101	台泥         	1	201712	安順鑫台建材骨料    	4	90721
1101	台泥         	1	201712	江蘇台泥投資        	0	840720
1101	台泥         	1	201712	江蘇台泥礦業工程    	0	372205
1101	台泥         	1	201712	保山昆鋼嘉華水泥建材	4	686147
1101	台泥         	1	201712	柳州台泥新型        	2	96422
1101	台泥         	1	201712	英德台泥礦業工程    	2	269258
1101	台泥         	1	201712	英德市達通物流服務  	2	22825
1101	台泥         	1	201712	英德海螺水泥有限責任	0	2173366
1101	台泥         	1	201712	英德龍山水泥有限責任	2	3232921
1101	台泥         	1	201712	納溪賽德水泥        	4	0
1101	台泥         	1	201712	湖南金大地材料      	2	5579738
1101	台泥         	1	201712	華鎣台泥水泥        	4	3048051
1101	台泥         	1	201712	貴州凱里瑞安建材    	4	1064646
1101	台泥         	1	201712	貴州港安水泥        	4	272309
1101	台泥         	1	201712	貴港台泥礦業工程    	2	128523
1101	台泥         	1	201712	雲南昆鋼嘉華水泥建材	4	1416940
1101	台泥         	1	201712	新台泥投資管理      	0	134515
1101	台泥         	1	201712	達和船務            	2	18260
1101	台泥         	1	201712	達通(貴港)國際物流  	2	148800
1101	台泥         	1	201712	靖州台泥水泥        	2	0
1101	台泥         	1	201712	福州台泥水泥        	0	273234
1101	台泥         	1	201712	福州台泥軟件        	0	2976
1101	台泥         	1	201712	福州台泥陽嶼碼頭    	0	84072
1101	台泥         	1	201712	廣安鑫台建材        	4	46826
1101	台泥         	1	201712	遼寧昌慶水泥有限公司	1	1326745
1101	台泥         	1	201712	懷化台泥混凝土      	2	0
1101	台泥         	1	201712	瀘州賽德水泥        	4	0
1101	台泥         	1	201712	瀘州賽德混凝土      	4	0
1101	台泥         	1	201812	Anhui King Bridge   	0	156647
1101	台泥         	1	201812	1	      	48621101
1101	台泥         	1	201812	士敏英德機械        	2	16295
1101	台泥         	1	201812	台泥(東莞)水泥      	2	347080
1101	台泥         	1	201812	台泥(英德)水泥      	2	4882487
1101	台泥         	1	201812	台泥(重慶)水泥      	4	2620645
1101	台泥         	1	201812	台泥(貴港)水泥      	2	7313238
1101	台泥         	1	201812	台泥(韶關)水泥      	2	1094990
1101	台泥         	1	201812	台泥(廣安)水泥      	4	1716826
1101	台泥         	1	201812	台泥安順水泥有限公司	4	3434735
1101	台泥         	1	201812	句容台泥水泥        	0	4177086
1101	台泥         	1	201812	四川泰昌建材集團    	4	353270
1101	台泥         	1	201812	合江賽德水泥        	4	0
1101	台泥         	1	201812	安順鑫台建材骨料    	4	93437
1101	台泥         	1	201812	江蘇台泥投資        	0	867699
1101	台泥         	1	201812	江蘇台泥礦業工程    	0	384149
1101	台泥         	1	201812	保山昆鋼嘉華水泥建材	4	706693
1101	台泥         	1	201812	柳州台泥新型        	2	99517
1101	台泥         	1	201812	英德台泥礦業工程    	2	277899
1101	台泥         	1	201812	英德市達通物流服務  	2	22360
1101	台泥         	1	201812	英德海螺水泥有限責任	0	2238447
1101	台泥         	1	201812	英德龍山水泥有限責任	2	3336666
1101	台泥         	1	201812	納溪賽德水泥        	4	0
1101	台泥         	1	201812	湖南金大地材料      	2	5746822
1101	台泥         	1	201812	華鎣台泥水泥        	4	3139325
1101	台泥         	1	201812	貴州凱里瑞安建材    	4	1098811
1101	台泥         	1	201812	貴州港安水泥        	4	281048
1101	台泥         	1	201812	貴港台泥東園環保科技	2	523224
1101	台泥         	1	201812	貴港台泥礦業工程    	2	132647
1101	台泥         	1	201812	雲南昆鋼嘉華水泥建材	4	1459370
1101	台泥         	1	201812	新台泥投資管理      	0	138832
1101	台泥         	1	201812	達和船務            	2	17888
1101	台泥         	1	201812	達通(貴港)國際物流  	2	153575
1101	台泥         	1	201812	靖州台泥水泥        	2	0
1101	台泥         	1	201812	福州台泥水泥        	0	282002
1101	台泥         	1	201812	福州台泥軟件        	0	3072
1101	台泥         	1	201812	福州台泥陽嶼碼頭    	0	86770
1101	台泥         	1	201812	廣安鑫台建材        	4	48228
1101	台泥         	1	201812	遼寧昌慶水泥有限公司	1	1369321
1101	台泥         	1	201812	懷化台泥混凝土      	2	0
1101	台泥         	1	201812	瀘州賽德水泥        	4	0
1101	台泥         	1	201812	瀘州賽德混凝土      	4	0
1102	亞泥         	1	200112	1	      	2575620
1102	亞泥         	1	200112	上海亞力水泥製品    	0	418800
1102	亞泥         	1	200112	江西亞東水泥        	0	1745000
1102	亞泥         	1	200112	武漢亞東水泥        	2	411820
1102	亞泥         	1	200212	1	      	4902000
1102	亞泥         	1	200212	上海亞力水泥製品    	0	416400
1102	亞泥         	1	200212	江西亞東水泥        	0	3729140
1102	亞泥         	1	200212	武漢亞東水泥        	2	756460
1102	亞泥         	1	200312	1	      	5492937
1102	亞泥         	1	200312	上海亞力水泥製品    	0	407040
1102	亞泥         	1	200312	上海亞東投資        	0	496928
1102	亞泥         	1	200312	上海亞福水泥製品    	0	43078
1102	亞泥         	1	200312	江西亞東水泥        	0	3645315
1102	亞泥         	1	200312	武漢亞東水泥        	2	900576
1102	亞泥         	1	200412	1	      	6025468
1102	亞泥         	1	200412	上海亞力水泥製品    	0	355447
1102	亞泥         	1	200412	上海亞東投資        	0	798117
1102	亞泥         	1	200412	上海亞福水泥製品    	0	40208
1102	亞泥         	1	200412	四川亞東水泥        	4	636366
1102	亞泥         	1	200412	江西亞東水泥        	0	3354757
1102	亞泥         	1	200412	武漢亞東水泥        	2	840573
1102	亞泥         	1	200412	南昌亞力水泥製品    	0	0
1102	亞泥         	1	200412	南昌亞東水泥        	0	0
1102	亞泥         	1	200512	1	      	9572812
1102	亞泥         	1	200512	上海亞力水泥製品    	0	368246
1102	亞泥         	1	200512	上海亞東投資        	0	984000
1102	亞泥         	1	200512	上海亞福水泥製品    	0	41656
1102	亞泥         	1	200512	四川亞東水泥        	4	1312000
1102	亞泥         	1	200512	成都亞力水泥製品    	4	68880
1102	亞泥         	1	200512	成都亞鑫礦渣微粉    	4	32144
1102	亞泥         	1	200512	江西亞利通運        	0	0
1102	亞泥         	1	200512	江西亞東水泥        	0	4448566
1102	亞泥         	1	200512	武漢亞東水泥        	2	870840
1102	亞泥         	1	200512	南昌亞力水泥製品    	0	0
1102	亞泥         	1	200512	南昌亞東水泥        	0	0
1102	亞泥         	1	200512	湖北亞東水泥        	2	1446480
1102	亞泥         	1	200612	1	      	11325695
1102	亞泥         	1	200612	上海亞力水泥製品    	0	365383
1102	亞泥         	1	200612	上海亞東投資        	0	1789975
1102	亞泥         	1	200612	上海亞福水泥製品    	0	41332
1102	亞泥         	1	200612	四川亞力水泥製品    	4	96659
1102	亞泥         	1	200612	四川亞利運輸        	4	102517
1102	亞泥         	1	200612	四川亞東水泥        	4	1757430
1102	亞泥         	1	200612	成都亞力水泥製品    	4	68345
1102	亞泥         	1	200612	成都亞鑫礦渣微粉    	4	31894
1102	亞泥         	1	200612	江西亞利通運        	0	0
1102	亞泥         	1	200612	江西亞東水泥        	0	4414046
1102	亞泥         	1	200612	武漢亞東水泥        	2	864070
1102	亞泥         	1	200612	南昌亞力水泥製品    	0	0
1102	亞泥         	1	200612	南昌亞東水泥        	0	0
1102	亞泥         	1	200612	揚州亞東水泥        	0	358809
1102	亞泥         	1	200612	湖北亞利運輸        	2	0
1102	亞泥         	1	200612	湖北亞東水泥        	2	1435235
1102	亞泥         	1	200612	黃岡亞東水泥        	2	0
1102	亞泥         	1	200712	1	      	12575000
1102	亞泥         	1	200712	上海亞力水泥製品    	0	363530
1102	亞泥         	1	200712	上海亞東投資        	0	1780900
1102	亞泥         	1	200712	上海亞福水泥製品    	0	41123
1102	亞泥         	1	200712	四川亞力水泥製品    	4	96169
1102	亞泥         	1	200712	四川亞利運輸        	4	101997
1102	亞泥         	1	200712	四川亞東水泥        	4	1748520
1102	亞泥         	1	200712	成都亞力水泥製品    	4	67998
1102	亞泥         	1	200712	成都亞鑫礦渣微粉    	4	31732
1102	亞泥         	1	200712	江西亞利通運        	0	0
1102	亞泥         	1	200712	江西亞東水泥        	0	4608030
1102	亞泥         	1	200712	武漢亞力水泥製品    	2	0
1102	亞泥         	1	200712	武漢亞東水泥        	2	859689
1102	亞泥         	1	200712	南昌亞力水泥製品    	0	0
1102	亞泥         	1	200712	南昌亞東水泥        	0	0
1102	亞泥         	1	200712	揚州亞東水泥        	0	513191
1102	亞泥         	1	200712	湖北亞利運輸        	2	0
1102	亞泥         	1	200712	湖北亞東水泥        	2	1865088
1102	亞泥         	1	200712	黃岡亞東水泥        	2	497033
1102	亞泥         	1	200812	1	      	14048148
1102	亞泥         	1	200812	上海亞力水泥製品    	0	367684
1102	亞泥         	1	200812	上海亞東投資        	0	1801250
1102	亞泥         	1	200812	上海亞福水泥製品    	0	41593
1102	亞泥         	1	200812	四川亞力水泥製品    	4	97268
1102	亞泥         	1	200812	四川亞利運輸        	4	103163
1102	亞泥         	1	200812	四川亞東水泥        	4	3097954
1102	亞泥         	1	200812	成都亞力水泥製品    	4	68775
1102	亞泥         	1	200812	成都亞鑫礦渣微粉    	4	32095
1102	亞泥         	1	200812	江西亞利通運        	0	0
1102	亞泥         	1	200812	江西亞東水泥        	0	4660685
1102	亞泥         	1	200812	武漢亞力水泥製品    	2	0
1102	亞泥         	1	200812	武漢亞東水泥        	2	869513
1102	亞泥         	1	200812	南昌亞力水泥製品    	0	0
1102	亞泥         	1	200812	南昌亞東水泥        	0	0
1102	亞泥         	1	200812	揚州亞東水泥        	0	519055
1102	亞泥         	1	200812	湖北亞利運輸        	2	0
1102	亞泥         	1	200812	湖北亞東水泥        	2	1886400
1102	亞泥         	1	200812	黃岡亞東水泥        	2	502713
1102	亞泥         	1	200912	1	      	13278991
1102	亞泥         	1	200912	上海亞力水泥製品    	0	358590
1102	亞泥         	1	200912	上海亞東投資        	0	1756700
1102	亞泥         	1	200912	上海亞福水泥製品    	0	40564
1102	亞泥         	1	200912	四川亞力水泥製品    	4	94862
1102	亞泥         	1	200912	四川亞利運輸        	4	100611
1102	亞泥         	1	200912	四川亞東水泥        	4	2929154
1102	亞泥         	1	200912	成都亞力水泥製品    	4	67074
1102	亞泥         	1	200912	成都亞鑫礦渣微粉    	4	31301
